Inf,Club,Club Job,Preferred Job,Salary,Rating,WR,Tac Knw,Att,Def,Men,Tec,TCo,Mot,Det,Dis,Personality,Name
FrA,,-,Loan Manager,-,,,13,11,9,16,7,9,17,18,3,Driven,David Campbell
,Watford,General Manager,General Manager,"$10,000 p/w",,,15,9,6,9,9,13,15,12,5,Balanced,Filippo Giraldi
,FC Barcelona,Physio,Physio,"$5,500 p/w",,,1,1,1,1,1,1,16,16,20,Fairly Determined,Xavi Linde
,Norwich,General Manager,General Manager,"$15,500 p/w",,,15,9,9,8,9,10,13,18,5,Driven,Stuart Webber
,FC Lorient,FC Lorient 2 Assistant Coach,Assistant Coach,"$4,000 p/w",,,13,12,17,11,14,14,20,13,13,Fairly Professional,Dani Guindos
,Toulouse FC,Head Physio,Physio,"$2,100 p/w",,,9,5,5,5,5,7,17,16,9,Resolute,Clément Hazard
,1.FSV Mainz 05,Coach,Coach,"$6,250 p/w",,,8,17,14,14,15,13,19,19,10,Driven,Benjamin Hoffmann
,Paris Saint-Germain,Physio,Physio,"$3,400 p/w",,,9,5,5,5,5,9,16,14,9,Professional,Tim Hielscher
,FC Barcelona,Under 19s Sports Scientist,Sports Scientist,"$5,500 p/w",,,10,4,9,6,5,9,16,13,16,Balanced,Jack Nayler
FrA,,-,Coach,-,,,10,14,13,18,18,14,18,14,17,Spirited,Vítor Matos
,FC Barcelona B,Head Physio,Physio,"$3,200 p/w",,,9,5,5,5,5,8,16,14,15,Fairly Loyal,Robin Sadler
FrA,,-,Coach,-,,,7,16,13,15,14,16,20,14,14,Balanced,Luke Tisdale
,Southampton,Assistant Coach,Assistant Coach,"$2,100 p/w",,,12,15,13,16,17,12,20,14,12,Balanced,Carl Martin
,TSG 1899 Hoffenheim,Head of Youth Development,Head of Youth Development,"$22,000 p/w",,,16,16,14,19,13,17,8,17,20,Model Professional,Bernhard Peters
,Juventus,Scout,Scout,"$5,750 p/w",,,12,6,9,9,9,7,6,17,13,Fairly Determined,Giovanni Rosignoli
,CD Santa Clara,Goalkeeping Coach,Goalkeeping Coach,"$2,000 p/w",,,11,6,4,12,9,8,17,15,11,Fairly Determined,Luis Esteves
,FC Barcelona,Scout,Scout,"$7,000 p/w",,,13,10,7,10,13,11,14,16,14,Fairly Determined,Jose Boto
Bid,Juventus,Head of Youth Development,Head of Youth Development,"$5,500 p/w",,,20,1,1,1,1,1,20,20,15,Determined,Stefano Braghin
,Paços de Ferreira,Coach,Coach,"$4,000 p/w",,,15,12,12,12,16,17,19,14,11,Fairly Loyal,Sérgio Botelho
,Everton,Chief Data Analyst,Data Analyst,"$9,500 p/w",,,11,8,7,9,5,9,17,13,18,Balanced,Simone Montanaro
,Bournemouth,Assistant Coach,Assistant Coach,"$6,000 p/w",,,14,15,8,13,13,15,20,13,14,Fairly Professional,João Pedro Sousa
,Juventus,Sports Scientist,Sports Scientist,"$4,600 p/w",,,1,3,3,12,11,9,18,15,16,Fairly Determined,Antonio Gualtieri
,Manchester City,General Manager,General Manager,"$27,000 p/w",,,17,10,10,10,10,10,13,17,10,Resolute,Txiki Begiristain
,Lyon,Fitness Coach,Fitness Coach,"$4,000 p/w",,,10,1,1,11,6,10,15,16,18,Resolute,Antonin Da Fonseca
FrA,,-,Technical Director,-,,,12,14,18,12,13,12,20,20,16,Professional,Xavi García
,FC Barcelona B,Fitness Coach,Fitness Coach,"$3,400 p/w",,,6,3,3,9,4,3,17,13,14,Balanced,Enrico Maffei
,Juventus,Under 20s Fitness Coach,Fitness Coach,"$3,300 p/w",,,5,5,5,14,7,8,16,15,14,Fairly Determined,Stefano Vetri
FrA,,-,Loan Manager,-,,,13,9,14,11,15,13,19,16,10,Fairly Determined,Tom Clayton
,Wolves,Assistant Coach,Assistant Coach,"$4,700 p/w",,,16,14,8,15,17,15,18,16,16,Model Professional,Mikel Arteta
,Villarreal,General Manager,General Manager,"$9,500 p/w",,,11,9,9,9,7,11,17,12,10,Balanced,Pablo Ortells
,Paris Saint-Germain,Physio,Physio,"$7,000 p/w",,,5,5,5,5,5,5,17,14,13,Professional,Cyril Praud
,Bayern München,Under 19s Coach,Coach,"$6,250 p/w",,,9,17,11,20,16,13,18,15,9,Professional,Miroslav Klose
,Alavés,Data Analyst,Data Analyst,"$4,000 p/w",,,8,11,6,12,11,7,1,17,15,Realist,Unai Benito
,Athletic Club,Head of Youth Development,Head of Youth Development,"$12,750 p/w",,,15,17,18,14,14,17,20,18,6,Determined,Enrique Casamayor
FrA,,-,Physio,-,,,5,1,1,1,1,1,16,13,15,Balanced,Tim Williamson
FrA,,-,Loan Manager,-,,,15,10,9,16,9,11,18,16,10,Fairly Determined,Jérémy Saint-Maxin
,Borussia Mönchengladbach,Fitness Coach,Fitness Coach,"$3,300 p/w",,,8,8,6,8,8,8,20,10,12,Fairly Professional,Quirin Löppert
,FC Barcelona,Technical Director,Technical Director,"$16,500 p/w",,,13,13,20,19,17,17,16,18,12,Determined,Eduard Oberdorf
,TSG 1899 Hoffenheim,Head of Sports Science,Sports Scientist,"$4,700 p/w",,,8,10,13,7,11,6,18,18,16,Determined,André Borst
,FC Nantes,Head of Sports Science,Sports Scientist,"$2,600 p/w",,,10,13,10,7,9,11,16,17,18,Resolute,Clément Guilbaud
FrA,,-,Head of Youth Development,-,,,15,12,16,12,14,15,16,15,7,Professional,Mathias Lindenblatt
,Southampton,General Manager,General Manager,"$8,250 p/w",,,15,10,11,7,10,11,20,16,13,Fairly Determined,Matt Crocker
,Athletic Club,Under 19s Fitness Coach,Fitness Coach,"$3,300 p/w",,,7,8,8,8,8,8,20,14,10,Fairly Loyal,Luis Prieto
,FC Barcelona,Goalkeeping Coach,Goalkeeping Coach,"$5,500 p/w",,,9,1,1,13,5,5,20,12,17,Fairly Professional,Xavi Valero
,Bayer 04 Leverkusen,Head Physio,Physio,"$6,000 p/w",,,6,5,5,5,5,5,14,16,10,Fairly Determined,Sven Elsinger
,Watford,Head of Youth Development,Head of Youth Development,"$15,250 p/w",,,14,12,17,15,18,13,20,15,11,Unambitious,Max Togwell
FrA,,-,Head of Youth Development,-,,,14,18,20,17,12,17,12,18,9,Driven,Rhys Knott
,Man Utd,Under 23s Fitness Coach,Fitness Coach,"$2,100 p/w",,,7,3,3,9,9,7,17,13,13,Fairly Ambitious,Mark Hulse
,VfB Stuttgart,General Manager,General Manager,"$9,000 p/w",,,15,7,6,10,10,12,17,19,9,Professional,Sven Mislintat
,Hamburger SV,Head of Youth Development,Head of Youth Development,"$7,000 p/w",,,16,17,14,16,17,17,20,16,16,Professional,Bastian Reinhardt
,SC Paderborn,Fitness Coach,Fitness Coach,"$1,900 p/w",,,6,8,7,8,4,4,20,14,9,Fairly Professional,Markus Müller
,Borussia Mönchengladbach,Head of Sports Science,Sports Scientist,"$9,250 p/w",,,9,9,9,9,9,9,15,13,13,Professional,Anke Steffen
,Real Sociedad,Head of Sports Science,Sports Scientist,"$9,500 p/w",,,12,8,9,9,9,10,17,18,8,Determined,Francesc Cos
,Arsenal,Fitness Coach,Fitness Coach,"$6,500 p/w",,,9,9,9,9,8,9,14,15,5,Professional,Shad Forsythe
,FC Barcelona,Under 19s Coach,Coach,"$3,400 p/w",,,12,13,14,16,16,15,13,16,16,Resolute,Neil Critchley
,TSG 1899 Hoffenheim,Assistant Coach,Assistant Coach,"$15,750 p/w",,,12,14,15,15,15,15,17,14,10,Professional,Matthias Kaltenbach
,Roma,Assistant Coach,Assistant Coach,"$8,000 p/w",,,16,9,10,20,8,18,15,20,14,Driven,Marco Landucci
,Paris Saint-Germain,General Manager,General Manager,"$15,750 p/w",,,12,16,8,15,14,11,15,18,13,Driven,Leonardo
,FC Barcelona,Scout,Scout,"$6,000 p/w",,,12,11,6,11,11,12,12,15,15,Fairly Determined,Bojan Krkic
,FC Barcelona,Physio,Physio,"$7,000 p/w",,,7,5,5,5,5,7,16,16,14,Professional,Antonio Fernández Gere
,Hamburger SV,General Manager,General Manager,"$5,500 p/w",,,9,9,9,9,9,9,15,13,12,Fairly Professional,Jonas Boldt
FrA,,-,Assistant Coach,-,,,16,10,16,11,11,16,15,12,4,Light-Hearted,Massimiliano Farris
FrA,,-,Loan Manager,-,,,13,11,10,10,5,16,16,15,13,Fairly Determined,Alexis Aliaga
Bid,Lyon,Goalkeeping Coach,Goalkeeping Coach,"$7,000 p/w",,,1,2,1,12,8,2,16,16,16,Resolute,Grégory Coupet
FrA,,-,Fitness Coach,-,,,8,8,8,12,6,8,19,14,16,Balanced,Johannes Wieber
,TSG 1899 Hoffenheim,Head Physio,Physio,"$2,500 p/w",,,7,5,5,5,5,5,16,14,9,Balanced,Christian Neitzert
Wnt,,-,Coach,-,,,13,10,12,13,12,13,18,12,13,Balanced,Javi Cabello
,Borussia Mönchengladbach,Head Physio,Physio,"$3,900 p/w",,,6,5,5,5,5,7,17,13,8,Fairly Professional,Hendrik Schreiber
,VfL Wolfsburg,Under 19s Fitness Coach,Fitness Coach,"$4,400 p/w",,,10,8,7,7,4,9,17,9,19,Balanced,Oliver Mutschler
,Chamois Niortais,Coach,Coach,"$1,400 p/w",,,12,12,12,9,15,13,16,15,12,Resolute,Laurent Huard
,FC Lorient,Head of Youth Development,Head of Youth Development,"$2,300 p/w",,,9,13,14,15,13,11,18,13,19,Fairly Professional,Régis Le Bris
,Borussia Mönchengladbach,Head of Youth Development,Head of Youth Development,"$4,900 p/w",,,9,15,15,13,15,11,15,15,2,Resolute,Roland Virkus
,Bologna,Assistant Coach,Assistant Coach,"$10,250 p/w",,,13,9,18,13,11,13,13,13,12,Balanced,Miroslav Tanjga
FrA,,-,Head Coach,-,,,10,17,9,10,15,10,17,14,12,Balanced,Lamberto Zauli
,Everton,General Manager,General Manager,"$49,500 p/w",,,9,6,9,9,7,7,9,15,14,Fairly Determined,Marcel Brands
FrA,,-,Goalkeeping Coach,-,,,4,4,10,13,12,5,12,17,13,Resolute,Pedro Espinha
,FC Barcelona B,Physio,Physio,"$3,000 p/w",,,9,5,5,5,5,6,11,14,14,Professional,Klaus Eder
,1.FSV Mainz 05,Head Physio,Physio,"$2,000 p/w",,,9,5,5,5,5,9,20,10,15,Balanced,Stefan Stüwe
,SV Sandhausen,Coach,Coach,"$1,700 p/w",,,14,16,11,6,15,16,19,17,12,Fairly Determined,Frank Kaspari
,Celta Vigo,Goalkeeping Coach,Goalkeeping Coach,"$6,750 p/w",,,10,8,4,13,4,7,20,13,9,Balanced,Nando
,FC Barcelona,Head of Youth Development,Head of Youth Development,"$35,000 p/w",,,11,8,6,8,7,8,11,17,15,Model Professional,Josep Boada
,Athletic Club,Head of Sports Science,Sports Scientist,"$6,250 p/w",,,9,5,4,10,3,9,19,17,15,Fairly Determined,Xabier Clemente
,Hamburger SV,Chief Data Analyst,Data Analyst,"$1,700 p/w",,,10,8,8,8,4,10,6,12,17,Balanced,Sören Meier
,Granada,Head Physio,Physio,"$3,400 p/w",,,9,5,5,5,5,7,17,14,12,Fairly Professional,Alberto Lara
FrA,,-,Physio,-,,,7,5,5,5,5,8,13,13,2,Balanced,Esteban Arévalo
,Getafe,Assistant Coach,Assistant Coach,"$8,000 p/w",,,13,14,13,11,11,12,15,13,18,Balanced,Antonio Díaz Carlavilla
,Montpellier HSC,Goalkeeping Coach,Goalkeeping Coach,"$5,250 p/w",,,10,8,3,10,7,8,20,15,17,Model Citizen,Teddy Richert
,Athletic Club,Chief Data Analyst,Data Analyst,"$5,500 p/w",,,14,16,13,15,15,13,20,16,17,Fairly Determined,Alberto Iglesias
,FC Barcelona,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$2,100 p/w",,,9,8,9,10,9,9,13,15,13,Model Citizen,Luigi Turci
,Celta Vigo,Head Physio,Physio,"$6,000 p/w",,,9,5,5,5,5,7,18,12,8,Balanced,Ernesto Vieito
,Borussia Mönchengladbach,Under 19s Coach,Coach,"$3,600 p/w",,,12,13,9,14,14,12,17,15,6,Resolute,Hagen Schmidt
,Marseille,General Manager,General Manager,"$11,750 p/w",,,7,8,8,7,4,8,10,12,12,Light-Hearted,Andoni Zubizarreta
,RCD Mallorca,Fitness Coach,Fitness Coach,"$2,500 p/w",,,9,8,8,8,8,8,13,12,6,Balanced,José Francisco Vallejo
,Udinese,Assistant Coach,Assistant Coach,"$5,500 p/w",,,13,10,12,13,11,12,19,15,14,Fairly Determined,Paolo Vanoli
FrA,,-,Assistant Coach,-,,,9,13,11,11,12,10,15,17,12,Fairly Determined,Chris van der Weerden
,Athletic Club,Physio,Physio,"$6,000 p/w",,,12,5,4,5,5,8,12,13,5,Balanced,Álvaro Campa
,RB Leipzig,Under 19s Physio,Physio,"$2,700 p/w",,,8,5,5,5,5,5,15,14,15,Balanced,Benjamin Eisele
FrA,,-,Physio,-,,,7,4,5,5,5,7,16,14,15,Fairly Professional,Richie Partridge
,RCD Espanyol,Under 19s Coach,Coach,"$4,100 p/w",,,11,11,13,13,15,16,20,13,15,Fairly Professional,Toni Velamazán
,TSG 1899 Hoffenheim,Under 19s Coach,Coach,"$5,500 p/w",,,8,20,12,11,13,13,14,14,8,Fairly Professional,Dominik Drobisch
,Bayer 04 Leverkusen,Scout,Scout,"$5,250 p/w",,,13,19,14,14,15,16,18,15,10,Professional,Dirk Mack
,Lyon,Scout,Scout,"$10,000 p/w",,,11,9,8,8,8,9,13,12,15,Model Professional,Ramón Planes
,Holstein Kiel,Coach,Coach,"$3,900 p/w",,,8,13,14,14,13,13,14,13,17,Fairly Professional,Alexander Frankenberger
FrA,,-,Coach,-,,,12,6,17,15,12,13,16,14,17,Balanced,Nelson Vivas
,Eintracht Frankfurt,Fitness Coach,Fitness Coach,"$3,600 p/w",,,11,8,7,6,6,9,15,9,15,Fairly Professional,Martin Spohrer
,FC Augsburg,Coach,Coach,"$2,800 p/w",,,11,12,11,14,17,12,17,12,17,Fairly Professional,Jonas Scheuermann
,FC Barcelona,Coach,Coach,"$3,200 p/w",,,10,10,19,13,14,13,20,17,18,Fairly Determined,Paul Robinson
FrA,,-,Head Coach,-,,,10,10,13,13,15,12,18,17,10,Spirited,Jonathan Woodgate
FrA,,-,Head Coach,-,,,15,12,11,10,14,14,17,14,14,Perfectionist,Ivan Leko
,Eintracht Frankfurt,Goalkeeping Coach,Goalkeeping Coach,"$3,600 p/w",,,13,8,8,12,8,10,16,13,15,Fairly Professional,Arturo González
,Hamburger SV,Head of Sports Science,Sports Scientist,"$4,900 p/w",,,9,8,8,6,8,9,13,13,17,Fairly Professional,Sebastian Capel
,Werder Bremen,General Manager,General Manager,"$10,500 p/w",,,15,8,4,8,8,8,13,15,16,Model Citizen,Frank Baumann
,VfB Stuttgart,Assistant Coach,Assistant Coach,"$13,000 p/w",,,12,12,14,13,13,13,17,13,5,Fairly Professional,Michael Wimmer
,1. FC Köln,Coach,Coach,"$3,300 p/w",,,9,11,14,11,18,10,18,15,14,Resolute,Nathaniel Weiss
FrA,,-,Assistant Coach,-,,,9,10,13,10,11,12,17,11,12,Balanced,Noni Arrojo
Wnt,,-,Coach,-,,,9,13,13,13,15,12,20,14,7,Balanced,Bernd Wiesner
,SV Sandhausen,Assistant Coach,Assistant Coach,"$1,700 p/w",,,7,14,11,11,13,15,20,12,11,Balanced,Dustin Hamel
,Everton,Under 18s Assistant Coach,Assistant Coach,"$2,400 p/w",,,12,13,13,14,11,14,20,18,13,Driven,Keith Southern
,Hertha BSC,Under 19s Assistant Coach,Assistant Coach,"$6,000 p/w",,,12,9,10,11,11,11,20,15,18,Fairly Determined,Ilja Hofstädt
,FC Barcelona,Under 19s Assistant Coach,Assistant Coach,"$4,000 p/w",,,13,4,13,10,10,11,14,15,19,Iron Willed,Pepe Costa
,TSG 1899 Hoffenheim,Data Analyst,Data Analyst,"$2,900 p/w",,,11,8,6,8,4,12,8,15,15,Unambitious,Uwe Bartl
,Leicester,Coach,Coach,"$4,200 p/w",,,9,10,10,10,12,14,18,14,10,Fairly Loyal,Adam Sadler
,Borussia Mönchengladbach,Data Analyst,Data Analyst,"$3,200 p/w",,,7,9,7,8,11,8,4,14,13,Light-Hearted,Florian Bohlmann
,Angers SCO,Goalkeeping Coach,Goalkeeping Coach,"$3,200 p/w",,,13,8,8,9,8,12,18,13,11,Fairly Ambitious,Fabrice Grange
FrA,,-,Goalkeeping Coach,-,,,5,3,8,6,5,7,19,13,13,Fairly Professional,Andreas Kronenberg
,1. FC Köln,Assistant Coach,Assistant Coach,"$5,250 p/w",,,16,12,9,10,11,17,18,10,16,Fairly Loyal,Manfred Schmid
,Atalanta,Head of Sports Science,Sports Scientist,"$2,500 p/w",,,7,10,11,12,7,7,15,14,4,Fairly Professional,Simone Valenti
,FC Augsburg,Fitness Coach,Fitness Coach,"$2,000 p/w",,,11,3,4,5,4,8,17,11,12,Balanced,Andreas Bäumler
,Cultural Leonesa,Assistant Coach,Assistant Coach,"$1,200 p/w",,,13,13,9,12,12,13,17,13,7,Balanced,Pablo Sanz
,Udinese,Data Analyst,Data Analyst,"$2,700 p/w",,,8,8,4,10,7,11,5,15,12,Resilient,Giovanni Mei
FrA,,-,Fitness Coach,-,,,6,8,8,8,8,8,12,12,11,Light-Hearted,Gonçalo Pedro
,Sampdoria,Head of Sports Science,Sports Scientist,"$3,200 p/w",,,8,8,11,13,10,11,16,15,8,Fairly Determined,Simone Bertoli
,CD Leganés,Coach,Coach,"$5,250 p/w",,,18,6,8,10,8,9,15,19,18,Determined,Daniel Sousa
,Levante,Data Analyst,Data Analyst,"$4,200 p/w",,,10,7,11,8,16,9,13,16,14,Fairly Determined,Mateo López
,1. FC Nürnberg,Head Physio,Physio,"$2,000 p/w",,,6,5,5,5,5,5,14,13,10,Balanced,Sascha Rurainski
FrA,,-,Loan Manager,-,,,9,9,11,5,16,7,13,14,7,Balanced,Asier Santisteban
,Swansea,Head of Youth Development,Head of Youth Development,"$2,900 p/w",,,10,13,9,12,17,10,18,16,4,Spirited,Mick Reynolds
,Ipswich Town,Head of Youth Development,Head of Youth Development,"$1,800 p/w",,,8,13,14,10,10,12,17,20,7,Determined,Thierry Williams
,Montpellier HSC,General Manager,General Manager,"$9,250 p/w",,,8,8,8,8,8,8,12,17,14,Spirited,Bruno Carotti
FrA,,-,Fitness Coach,-,,,12,6,8,8,8,11,19,13,9,Balanced,Sergi Pérez
,Huddersfield,Technical Director,Technical Director,"$2,600 p/w",,,9,12,10,19,15,10,12,16,16,Light-Hearted,Patrick James
,Celta Vigo,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$3,300 p/w",,,7,4,5,10,7,6,20,14,14,Balanced,Diego Tuñas
,Montpellier HSC,Data Analyst,Data Analyst,"$2,100 p/w",,,9,3,4,4,5,7,10,14,16,Unambitious,Hugo Soulard
,FC Barcelona B,Goalkeeping Coach,Goalkeeping Coach,"$3,400 p/w",,,5,7,6,13,11,8,8,14,18,Spirited,Joël Bats
,Lyon,Fitness Coach,Fitness Coach,"$3,900 p/w",,,10,8,8,7,5,7,14,14,15,Fairly Professional,Cedric Uras
,Bayer 04 Leverkusen,Coach,Coach,"$5,500 p/w",,,12,12,12,12,13,12,13,14,10,Fairly Professional,Xaver Zembrod
,Stade Brestois 29,Sports Scientist,Sports Scientist,"$2,700 p/w",,,10,6,10,6,4,8,15,14,18,Balanced,Guillaume Louis
,Norwich,Coach,Coach,"$6,250 p/w",,,12,15,15,12,14,14,14,12,12,Balanced,Christopher John
,Hamburger SV,Sports Scientist,Sports Scientist,"$3,900 p/w",,,6,7,12,16,8,7,15,14,8,Professional,Dennis Grabowski
,1. FC Köln,Head of Sports Science,Sports Scientist,"$3,900 p/w",,,7,4,13,9,6,7,15,15,9,Fairly Determined,Marvin Golz
,Borussia Mönchengladbach,Fitness Coach,Fitness Coach,"$3,400 p/w",,,10,10,9,6,7,10,11,16,12,Professional,Andreas Schlumberger
,Celta Vigo,Physio,Physio,"$5,500 p/w",,,6,5,5,5,5,6,14,13,11,Balanced,Pedro Docampo
,FC Barcelona,Under 19s Coach,Coach,"$3,400 p/w",,,12,16,14,13,17,14,20,12,14,Balanced,Romain Dupont
,Borussia Mönchengladbach,Chief Scout,Scout,"$5,500 p/w",,,12,8,8,5,8,10,9,14,15,Fairly Loyal,Markus Hausweiler
,Salernitana,Head of Youth Development,Head of Youth Development,"$3,000 p/w",,,11,13,10,13,14,8,12,13,9,Balanced,Rinaldo Mascia
,Eintracht Frankfurt,Fitness Coach,Fitness Coach,"$3,100 p/w",,,11,8,3,7,7,9,16,8,14,Fairly Professional,Markus Murrer
,OGC Nice,OGC Nice 2 Goalkeeping Coach,Goalkeeping Coach,"$4,300 p/w",,,9,8,8,11,7,7,18,13,17,Fairly Professional,Lionel Letizi
,Burnley,Coach,Coach,"$6,000 p/w",,,15,11,15,10,12,17,12,13,10,Fairly Professional,Tony Loughlan
,Athletic Club,Goalkeeping Coach,Goalkeeping Coach,"$6,000 p/w",,,13,8,7,13,8,9,16,14,9,Fairly Loyal,Aitor Iru
,Real Zaragoza,Head of Youth Development,Head of Youth Development,"$5,750 p/w",,,11,11,17,10,12,11,20,17,13,Perfectionist,Isidro Cousillas
FrA,,-,Goalkeeping Coach,-,,,4,3,9,13,17,6,15,17,17,Professional,John Achterberg
,Real Valladolid,Assistant Coach,Assistant Coach,"$6,000 p/w",,,13,14,10,13,10,16,15,13,14,Balanced,Toni López
,Borussia Mönchengladbach,Scout,Scout,"$2,500 p/w",,,17,6,8,8,7,16,11,12,14,Balanced,Luuk Balkestein
,FC Barcelona B,Head of Sports Science,Sports Scientist,"$6,500 p/w",,,8,12,9,13,11,7,19,12,16,Fairly Loyal,William Roast
,Toulouse FC,Fitness Coach,Fitness Coach,"$1,800 p/w",,,8,3,8,8,6,6,16,14,20,Fairly Sporting,Toru Ota
,FC Nantes,Under 19s Fitness Coach,Fitness Coach,"$2,700 p/w",,,10,7,7,7,5,8,19,11,16,Balanced,Nicolas Delieutraz
,OGC Nice,Coach,Coach,"$6,500 p/w",,,8,12,12,15,13,12,14,12,11,Balanced,Thomas Sammut
,Lille OSC,Physio,Physio,"$5,250 p/w",,,9,5,5,5,5,8,17,12,12,Balanced,Cyril Semezak
,Benevento,Data Analyst,Data Analyst,"$2,400 p/w",,,9,9,6,3,5,8,5,16,13,Fairly Determined,Gaetano Massaro
,Alavés,Coach,Coach,"$4,900 p/w",,,14,14,6,17,12,17,20,12,12,Balanced,Franc Artiga
,Lyon,Chief Data Analyst,Data Analyst,"$8,000 p/w",,,7,6,8,8,8,7,11,13,12,Balanced,Yannick Pothier
,OGC Nice,Fitness Coach,Fitness Coach,"$3,600 p/w",,,9,4,4,7,5,8,17,11,19,Fairly Loyal,Christopher Juras
